event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_24025601,2020-06-10,fire_24025601_2020-06-06_2020-06-10,2,4.0,4.0,407,341,341,0,341,0,6,0.0,0.017595307917888565,1.0,1,1,0.12237909547809117,0.8865671641791044,339.0,14.0,0.04129793510324484,0.0,0.0,0.0,1.0
fire_24025601,2020-06-08,fire_24025601_2020-06-08_2020-06-11,0,2.0,4.0,363,104,297,1,297,0,0,0.0,0.0,0.9966329966329966,0,0,,,,,,,,,
fire_24025601,2020-06-10,fire_24025601_2020-06-08_2020-06-11,1,3.0,4.0,407,220,341,0,341,0,6,0.0,0.017595307917888565,1.0,1,1,0.12237909547809118,0.822429906542056,,,,,,,
fire_24025601,2020-06-11,fire_24025601_2020-06-08_2020-06-11,2,4.0,4.0,397,331,331,0,331,0,0,0.0,0.0,1.0,0,0,,,297.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025605,2020-06-01,fire_24025605_2020-06-01_2020-06-07,0,2.0,4.0,724,270,724,15,724,0,18,0.0,0.024861878453038673,0.9792817679558011,0,0,0.04958529403104685,0.4581473214285714,,,,,,,
fire_24025605,2020-06-02,fire_24025605_2020-06-01_2020-06-07,1,3.0,4.0,721,475,721,11,721,0,0,0.0,0.0,0.984743411927878,15,15,,,,,,,,,
fire_24025605,2020-06-07,fire_24025605_2020-06-01_2020-06-07,2,4.0,4.0,66,0,0,0,0,0,0,0.0,0.0,1.0,11,11,,,724.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025610,2020-05-30,fire_24025610_2020-05-30_2020-06-01,0,2.0,4.0,462,108,396,1,396,0,0,0.0,0.0,0.9974747474747475,0,0,,,,,,,,,
fire_24025610,2020-05-31,fire_24025610_2020-05-30_2020-06-01,1,3.0,4.0,462,228,396,3,396,0,0,0.0,0.0,0.9924242424242424,1,1,,,,,,,,,
fire_24025610,2020-06-01,fire_24025610_2020-05-30_2020-06-01,2,4.0,4.0,744,744,744,0,744,0,72,0.0,0.0967741935483871,1.0,3,3,0.1111899672187513,0.5734953703703703,396.0,3.0,0.007575757575757576,0.0,0.0,0.0,1.0
fire_24025610,2020-05-31,fire_24025610_2020-05-31_2020-06-02,0,2.0,4.0,462,108,396,3,396,0,0,0.0,0.0,0.9924242424242424,0,0,,,,,,,,,
fire_24025610,2020-06-01,fire_24025610_2020-05-31_2020-06-02,1,3.0,4.0,744,491,744,0,744,0,72,0.0,0.0967741935483871,1.0,3,3,0.1112387866782488,0.6702102939467875,,,,,,,
fire_24025610,2020-06-02,fire_24025610_2020-05-31_2020-06-02,2,4.0,4.0,1170,1170,1170,0,1170,0,61,0.0,0.05213675213675214,1.0,0,0,0.2763450138911626,0.913287705657142,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025610,2020-06-01,fire_24025610_2020-06-01_2020-06-03,0,2.0,4.0,744,283,744,0,744,0,72,0.0,0.0967741935483871,1.0,0,0,0.10519499412601006,0.6621386276558691,,,,,,,
fire_24025610,2020-06-02,fire_24025610_2020-06-01_2020-06-03,1,3.0,4.0,1170,742,1170,0,1170,0,61,0.0,0.05213675213675214,1.0,0,0,0.27643113703053923,0.859103054813317,,,,,,,
fire_24025610,2020-06-03,fire_24025610_2020-06-01_2020-06-03,2,4.0,4.0,1228,1228,1228,0,1228,0,3,0.0,0.0024429967426710096,1.0,0,0,0.7666666666666666,0.9980952380952381,744.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025610,2020-06-02,fire_24025610_2020-06-02_2020-06-04,0,2.0,4.0,1170,407,1170,0,1170,0,61,0.0,0.05213675213675214,1.0,0,0,0.2874209937114155,0.7535771818440253,,,,,,,
fire_24025610,2020-06-03,fire_24025610_2020-06-02_2020-06-04,1,3.0,4.0,1228,785,1228,0,1228,0,3,0.0,0.0024429967426710096,1.0,0,0,0.7666666666666666,0.9970161977834612,,,,,,,
fire_24025610,2020-06-04,fire_24025610_2020-06-02_2020-06-04,2,4.0,4.0,399,396,396,1,396,0,0,0.0,0.0,0.9974747474747475,0,0,,,1170.0,1.0,0.0008547008547008547,1.0,0.0,0.0,0.9991452991452991
fire_24025610,2020-06-03,fire_24025610_2020-06-03_2020-06-05,0,2.0,4.0,1228,434,1228,0,1228,0,3,0.0,0.0024429967426710096,1.0,0,0,0.7666666666666666,0.9945862335653518,,,,,,,
fire_24025610,2020-06-04,fire_24025610_2020-06-03_2020-06-05,1,3.0,4.0,399,228,396,1,396,0,0,0.0,0.0,0.9974747474747475,0,0,,,,,,,,,
fire_24025610,2020-06-05,fire_24025610_2020-06-03_2020-06-05,2,4.0,4.0,482,416,416,5,416,0,3,0.0,0.007211538461538462,0.9879807692307693,1,1,0.17456427015250545,0.9774011299435028,1228.0,1.0,0.0008143322475570033,5.0,0.0,0.0,0.995928338762215
fire_24025610,2020-06-04,fire_24025610_2020-06-04_2020-06-06,0,2.0,4.0,399,108,396,1,396,0,0,0.0,0.0,0.9974747474747475,0,0,,,,,,,,,
fire_24025610,2020-06-05,fire_24025610_2020-06-04_2020-06-06,1,3.0,4.0,482,244,416,5,416,0,3,0.0,0.007211538461538462,0.9879807692307693,1,1,0.17456427015250545,0.9612724757952974,,,,,,,
